recordid,,,,,,,
sex_a,,"1 = male, 2 = female",,,,,
age_a,,years,,,,,
gaming category,,1 = AVGPs,2 = TWs,3 = OTs,4 = NPs,,
fpshpw1,action first/third person shooters hours per week during the past year,0 = never,1 = 0+ to 1 hours,3 = 1+ to 3 hours,5 = 3+ to 5 hours,10 = 5+ to 10 hours,11 = 10+ hours
arpghpw1,action rpg/sports/driving/adventure hours per week during the past year,0 = never,1 = 0+ to 1 hours,3 = 1+ to 3 hours,5 = 3+ to 5 hours,10 = 5+ to 10 hours,11 = 10+ hours
rtshpw1,real-time strategy hours per week during the past year,0 = never,1 = 0+ to 1 hours,3 = 1+ to 3 hours,5 = 3+ to 5 hours,10 = 5+ to 10 hours,11 = 10+ hours
narpghpw1,non-action role-playing hours per week during the past year,0 = never,1 = 0+ to 1 hours,3 = 1+ to 3 hours,5 = 3+ to 5 hours,10 = 5+ to 10 hours,11 = 10+ hours
tbshpw1,turn-based strategy hours per week during the past year,0 = never,1 = 0+ to 1 hours,3 = 1+ to 3 hours,5 = 3+ to 5 hours,10 = 5+ to 10 hours,11 = 10+ hours
musichpw1,music hours per week during the past year,0 = never,1 = 0+ to 1 hours,3 = 1+ to 3 hours,5 = 3+ to 5 hours,10 = 5+ to 10 hours,11 = 10+ hours
shghpw1,survival horror hours per week during the past year,0 = never,1 = 0+ to 1 hours,3 = 1+ to 3 hours,5 = 3+ to 5 hours,10 = 5+ to 10 hours,11 = 10+ hours
otherhpw1,other hours per week during the past year,0 = never,1 = 0+ to 1 hours,3 = 1+ to 3 hours,5 = 3+ to 5 hours,10 = 5+ to 10 hours,11 = 10+ hours
fpshpw2,action first/third person shooters hours per week before the past year,0 = never,1 = 0+ to 1 hours,3 = 1+ to 3 hours,5 = 3+ to 5 hours,10 = 5+ to 10 hours,11 = 10+ hours
arpghpw2,action rpg/sports/driving/adventure hours per week before the past year,0 = never,1 = 0+ to 1 hours,3 = 1+ to 3 hours,5 = 3+ to 5 hours,10 = 5+ to 10 hours,11 = 10+ hours
rtshpw2,real-time strategy hours per week before the past year,0 = never,1 = 0+ to 1 hours,3 = 1+ to 3 hours,5 = 3+ to 5 hours,10 = 5+ to 10 hours,11 = 10+ hours
narpghpw2,non-action role-playing hours per week before the past year,0 = never,1 = 0+ to 1 hours,3 = 1+ to 3 hours,5 = 3+ to 5 hours,10 = 5+ to 10 hours,11 = 10+ hours
tbshpw2,turn-based strategy hours per week before the past year,0 = never,1 = 0+ to 1 hours,3 = 1+ to 3 hours,5 = 3+ to 5 hours,10 = 5+ to 10 hours,11 = 10+ hours
musichpw2,music hours per week before the past year,0 = never,1 = 0+ to 1 hours,3 = 1+ to 3 hours,5 = 3+ to 5 hours,10 = 5+ to 10 hours,11 = 10+ hours
shghpw2,survival horror hours per week before the past year,0 = never,1 = 0+ to 1 hours,3 = 1+ to 3 hours,5 = 3+ to 5 hours,10 = 5+ to 10 hours,11 = 10+ hours
otherhpw2,other hours per week before the past year,0 = never,1 = 0+ to 1 hours,3 = 1+ to 3 hours,5 = 3+ to 5 hours,10 = 5+ to 10 hours,11 = 10+ hours
